"City of Atlanta 
WWTP
2012 Emissions","CH4 from digester gas (CH4)
Equation 10.1",Total CH4 emissions (mTCO2e),Process N2O Centralized WWTP,Process N2O (mTCO2e),Effluent discharge to receiving aquatic environments,Effluent N2O discharge to receiving aquatic environments (mTCO2e),Total N2O emissions (mTCO2e),Total mTCO2e per WWTP
Utoy Creek,480.36544802999998,10087.67440863,1.7393425000000002,539.19617500000004,4.5994050484151794,1425.8155650087056,1965.0117400087056,12052.686148638706
RM Clayton,4483.4108482799993,94151.627813879983,4.38836125,1360.3919874999999,11.604299261082591,3597.3327709356031,4957.7247584356028,99109.352572315591
Intrenchment Creek,0,0,0.34,105.4,6.612903225806452,2050,2155.4,2155.4
South River,48.036544802999991,1008.7674408629998,1.65,511.5,4.3499999999999996,1348.5,1860,2868.767440863
