Electricity Type,2015 Annual Consumption (kWh/y),Emissions Factor lbs/kWh8,Total Source x Emission Factor (lbs/y),Emissions Electricity 2012 (mTCO2e/y)*
Electricity (no Airport),8594735647.6830864,1.1100000000000001,9540156568.9282265,4327386.6320095379
Electricity MARTA,195749718,1.1100000000000001,217282186.98000002,98558.553470017243
Electricity Airport,310450223,1.1100000000000001,344599747.53000003,156309.42008981222
