ZIP Code,% Within City,2013 Total,Total Within Zip Code
30303,1.0000000000002018,139746.2,139746.2000000282
30305,1.0000000000000955,6547356.3,6547356.300000625
30306,0.73382073673994308,5567818.5,4085780.6737042847
30307,0.63471897963204738,4283156.6,2718600.786756269
30308,0.99999999999972766,1887305.5,1887305.499999486
30309,1.0000000000029903,3036799,3036799.000009081
30310,0.99981447315587935,4214609,4213827.076893028
30311,0.98968586472132614,5650526.8,5592246.502189028
30312,1.0000000000001916,2303305.8,2303305.8000004413
30313,0.99999999999862021,373756.6,373756.59999948426
30314,0.99999999999993427,2201585.7,2201585.6999998554
30315,0.9538606552735116,3364407.5,3209175.942557117
30316,0.28779358110687492,5488376.8,1579519.6137358905
30317,0.85062336970878982,2408576.2,2048791.2034443922
30318,0.99893940528767255,6559463.100000001,6552506.168120434
30319,0.1115094949667999,8577574.5,956481.0005351012
30324,0.75789451844754385,3711744.3,2813110.6588489157
30326,1.0000000000002311,197604,197604.00000004566
30327,0.62064230944238463,10189683.2,6324148.513734268
30331,0.53041280423651627,10198652.5,5409495.871958757
30336,6.8981224960983828E-2,15918.699999999999,1098.091425786413
30342,0.45857640577676001,6819963.7,3127474.4410739737
30354,0.59036960501484137,1957419.1,1155600.7409155064
30363,1.0000000175134447,68429.6,68429.60119843802
