Sectors,2015 Annual Consumption (kWh/y),Emissions Factor lbs/kWh8,Total Source x Emission Factor (lbs/y),Emissions Electricity 2015 (mTCO2e/y)*
Residential,2247059782.9181719,1.1100000000000001,2494236359.0391712,1131378.1906192377
Commercial,5824960778.4015141,1.1100000000000001,6465706464.0256815,2932825.2127486537
Industrial,451921070.04699159,1.1100000000000001,501632387.75216073,227538.95842881282
Total,8523941631.3666773,1.1100000000000001,9461575210.8170128,4291742.3617967041
Lighting,70794016.316408202,1.1100000000000001,78581358.111213118,35644.270212833675
