ZIP Code,% Within City,2013 Total,Total Within Zip Code
30303,1.0000000000002018,8772.9,8772.90000000177
30305,1.0000000000000955,16861.8,16861.80000000161
30306,0.73382073673994308,6896965.5,5061136.30447997
30307,0.63471897963204738,4115891.4,2612434.389684319
30308,0.99999999999972766,1451203.7,1451203.6999996048
30309,1.0000000000029903,1872351.2,1872351.2000055988
30310,0.99981447315587935,2805734,2805213.461025538
30311,0.98968586472132614,4870975.4,4820735.500785308
30312,1.0000000000001916,1683313,1683313.0000003225
30313,0.99999999999862021,949100.8,949100.7999986905
30314,0.99999999999993427,1123542,1123541.9999999262
30315,0.9538606552735116,1569067.2,1496671.467560174
30316,0.28779358110687492,1130043,325219.12177475623
30317,0.85062336970878982,2297546.7,1954346.9160173102
30318,0.99893940528767255,2143092.1,2140819.1478507095
30319,0.1115094949667999,472647.5,52704.68402232056
30324,0.75789451844754385,2064607.4,1564754.6312062354
30326,1.0000000000002311,413393.3,413393.30000009557
30327,0.62064230944238463,315985.1,196113.72221338283
30331,0.53041280423651627,2463021.8,1306418.299833672
30336,6.8981224960983828E-2,2819649.6,194502.88336874807
30342,0.45857640577676001,8700455.5,3989823.611810643
30354,0.59036960501484137,1906890.2,1125770.014180672
30363,1.0000000175134447,929969.3,929969.316286966
