ZIP Code,% Within City,Consumption,Month,Year
30354,0.59036960501484137,126562.6,May,2013
30363,1.0000000175134447,57676.4,May,2013
30303,1.0000000000002018,768.4,Jun,2013
30305,1.0000000000000955,986.7,Jun,2013
30306,0.73382073673994308,296219.8,Jun,2013
30307,0.63471897963204738,218977.9,Jun,2013
30308,0.99999999999972766,72408.4,Jun,2013
30309,1.0000000000029903,129114.4,Jun,2013
30310,0.99981447315587935,143215.6,Jun,2013
30311,0.98968586472132614,256356.7,Jun,2013
30312,1.0000000000001916,83827.5,Jun,2013
30313,0.99999999999862021,46119.6,Jun,2013
30314,0.99999999999993427,51973.8,Jun,2013
30315,0.9538606552735116,99102.2,Jun,2013
30316,0.28779358110687492,58465.4,Jun,2013
30317,0.85062336970878982,96467.7,Jun,2013
30318,0.99893940528767255,97394.6,Jun,2013
30319,0.1115094949667999,15552.7,Jun,2013
30324,0.75789451844754385,102961.7,Jun,2013
30326,1.0000000000002311,8254.7,Jun,2013
30327,0.62064230944238463,16316.5,Jun,2013
30331,0.53041280423651627,161718.6,Jun,2013
30336,6.8981224960983828E-2,169489.1,Jun,2013
30342,0.45857640577676001,397974.2,Jun,2013
30354,0.59036960501484137,117926.8,Jun,2013
30363,1.0000000175134447,48301.9,Jun,2013
30303,1.0000000000002018,759.8,Jul,2013
30305,1.0000000000000955,1136.8,Jul,2013
30306,0.73382073673994308,340698.2,Jul,2013
30307,0.63471897963204738,217554.5,Jul,2013
30308,0.99999999999972766,76407.2,Jul,2013
30309,1.0000000000029903,113975,Jul,2013
30310,0.99981447315587935,152645.3,Jul,2013
30311,0.98968586472132614,279316.4,Jul,2013
30312,1.0000000000001916,68867.1,Jul,2013
30313,0.99999999999862021,35604.3,Jul,2013
30314,0.99999999999993427,56957.4,Jul,2013
30315,0.9538606552735116,87302,Jul,2013
30316,0.28779358110687492,38932,Jul,2013
30317,0.85062336970878982,95749.3,Jul,2013
30318,0.99893940528767255,93943.8,Jul,2013
30319,0.1115094949667999,14084,Jul,2013
30324,0.75789451844754385,93110.3,Jul,2013
30326,1.0000000000002311,7819.7,Jul,2013
30327,0.62064230944238463,17663.1,Jul,2013
30331,0.53041280423651627,148128.4,Jul,2013
30336,6.8981224960983828E-2,149250.6,Jul,2013
30342,0.45857640577676001,381572.8,Jul,2013
30354,0.59036960501484137,110811.3,Jul,2013
30363,1.0000000175134447,51843.7,Jul,2013
30303,1.0000000000002018,739.9,Aug,2013
30305,1.0000000000000955,978.4,Aug,2013
30306,0.73382073673994308,323273.8,Aug,2013
30307,0.63471897963204738,205034,Aug,2013
30308,0.99999999999972766,69858,Aug,2013
30309,1.0000000000029903,118784.5,Aug,2013
30310,0.99981447315587935,151487.8,Aug,2013
30311,0.98968586472132614,278528.4,Aug,2013
30312,1.0000000000001916,77418.8,Aug,2013
30313,0.99999999999862021,42860.5,Aug,2013
30314,0.99999999999993427,51309.7,Aug,2013
30315,0.9538606552735116,90714.1,Aug,2013
30316,0.28779358110687492,50970.7,Aug,2013
30317,0.85062336970878982,108476.8,Aug,2013
30318,0.99893940528767255,86615.4,Aug,2013
30319,0.1115094949667999,14011.3,Aug,2013
30324,0.75789451844754385,96993.3,Aug,2013
30326,1.0000000000002311,8950.6,Aug,2013
30327,0.62064230944238463,17557.5,Aug,2013
30331,0.53041280423651627,141673.2,Aug,2013
30336,6.8981224960983828E-2,156028.6,Aug,2013
30342,0.45857640577676001,382788.6,Aug,2013
30354,0.59036960501484137,108838.3,Aug,2013
30363,1.0000000175134447,48864,Aug,2013
30303,1.0000000000002018,637.7,Sep,2013
30305,1.0000000000000955,994.6,Sep,2013
30306,0.73382073673994308,317161.7,Sep,2013
30307,0.63471897963204738,239299.5,Sep,2013
30308,0.99999999999972766,65902.8,Sep,2013
30309,1.0000000000029903,122308,Sep,2013
30310,0.99981447315587935,145986.2,Sep,2013
30311,0.98968586472132614,257488.1,Sep,2013
30312,1.0000000000001916,89127.2,Sep,2013
30313,0.99999999999862021,56441.6,Sep,2013
30314,0.99999999999993427,47621.2,Sep,2013
30315,0.9538606552735116,93623.1,Sep,2013
30316,0.28779358110687492,43861.5,Sep,2013
30317,0.85062336970878982,93228.2,Sep,2013
30318,0.99893940528767255,86352.5,Sep,2013
30319,0.1115094949667999,14933.1,Sep,2013
30324,0.75789451844754385,96211.8,Sep,2013
30326,1.0000000000002311,12369.8,Sep,2013
30327,0.62064230944238463,25163.1,Sep,2013
30331,0.53041280423651627,149003.5,Sep,2013
30336,6.8981224960983828E-2,150155.8,Sep,2013
30342,0.45857640577676001,361834.6,Sep,2013
30354,0.59036960501484137,120547.2,Sep,2013
30363,1.0000000175134447,47929.7,Sep,2013
30303,1.0000000000002018,680.7,Oct,2013
30305,1.0000000000000955,1099.3,Oct,2013
30306,0.73382073673994308,600943.9,Oct,2013
30307,0.63471897963204738,232691.8,Oct,2013
30308,0.99999999999972766,77476.6,Oct,2013
30309,1.0000000000029903,124779.4,Oct,2013
30310,0.99981447315587935,177500.5,Oct,2013
30311,0.98968586472132614,317493,Oct,2013
30312,1.0000000000001916,76985.7,Oct,2013
30313,0.99999999999862021,40840.5,Oct,2013
30314,0.99999999999993427,56410.6,Oct,2013
30315,0.9538606552735116,91426.8,Oct,2013
30316,0.28779358110687492,50589.3,Oct,2013
30317,0.85062336970878982,106059.7,Oct,2013
30318,0.99893940528767255,92746.6,Oct,2013
30319,0.1115094949667999,19590.8,Oct,2013
30324,0.75789451844754385,113501.9,Oct,2013
30326,1.0000000000002311,15502.2,Oct,2013
30327,0.62064230944238463,26380.9,Oct,2013
30331,0.53041280423651627,164369.9,Oct,2013
30336,6.8981224960983828E-2,155460,Oct,2013
30342,0.45857640577676001,517672.5,Oct,2013
30354,0.59036960501484137,117630.1,Oct,2013
30363,1.0000000175134447,53730.3,Oct,2013
30303,1.0000000000002018,623.2,Nov,2013
30305,1.0000000000000955,1392,Nov,2013
30306,0.73382073673994308,658057.4,Nov,2013
30307,0.63471897963204738,314346.4,Nov,2013
30308,0.99999999999972766,134435.1,Nov,2013
30309,1.0000000000029903,159945.7,Nov,2013
30310,0.99981447315587935,242342.7,Nov,2013
30311,0.98968586472132614,408618.6,Nov,2013
30312,1.0000000000001916,95192.1,Nov,2013
30313,0.99999999999862021,53555.8,Nov,2013
30314,0.99999999999993427,80886.8,Nov,2013
30315,0.9538606552735116,108957.6,Nov,2013
30316,0.28779358110687492,73572.3,Nov,2013
30317,0.85062336970878982,150109.7,Nov,2013
30318,0.99893940528767255,124067.6,Nov,2013
30319,0.1115094949667999,32866.2,Nov,2013
30324,0.75789451844754385,161851,Nov,2013
30326,1.0000000000002311,40344.6,Nov,2013
30327,0.62064230944238463,30531.8,Nov,2013
30331,0.53041280423651627,197863.9,Nov,2013
30336,6.8981224960983828E-2,190957.8,Nov,2013
30342,0.45857640577676001,1116706.1,Nov,2013
30354,0.59036960501484137,125770.1,Nov,2013
30363,1.0000000175134447,81003.7,Nov,2013
30303,1.0000000000002018,764,Dec,2013
30305,1.0000000000000955,2043.1,Dec,2013
30306,0.73382073673994308,857795.2,Dec,2013
30307,0.63471897963204738,491751.1,Dec,2013
30308,0.99999999999972766,196484.1,Dec,2013
30309,1.0000000000029903,209579.1,Dec,2013
30310,0.99981447315587935,335902.7,Dec,2013
